School,Team Name,Conference,Total Points,Games Played,Offensive Rebounds,Defensive Rebounds,Personal Fouls,Steals,Assists,Blocks,Turnovers,2-points %,3-point shooting %,Field Goals %,Free Throws %
DePaul,Blue Demons,Big East,2503,32,304,806,569,203,468,97,438,0.534,0.35,0.473,0.721
Saint Louis,Billikens,Atlantic 10,2399,36,436,883,636,254,459,145,464,0.472,0.304,0.417,0.598
St. Bonaventure,Bonnies,Atlantic 10,2250,34,289,800,553,199,417,164,420,0.479,0.328,0.429,0.742
Davidson,Wildcats,Atlantic 10,2409,34,229,865,540,175,499,82,378,0.534,0.354,0.45,0.749
Dayton,Flyers,Atlantic 10,2406,33,226,832,466,164,541,81,414,0.595,0.332,0.504,0.69
Fordham,Rams,Atlantic 10,2108,32,261,731,559,188,360,108,345,0.456,0.332,0.402,0.68
Rhode Island,Rams,Atlantic 10,2293,33,323,761,588,235,401,129,406,0.5,0.28,0.429,0.68
Massachusetts,Minutemen,Atlantic 10,2263,32,299,734,647,154,468,93,444,0.502,0.35,0.441,0.681
Richmond,Spiders,Atlantic 10,2314,33,167,704,490,249,519,101,336,0.555,0.347,0.472,0.661
La Salle,Explorers,Atlantic 10,2091,31,270,676,634,230,391,98,434,0.453,0.331,0.4,0.77
Virginia Commonwealth,Rams,Atlantic 10,2344,33,315,806,650,263,450,148,459,0.531,0.305,0.438,0.701
George Washington,Colonials,Atlantic 10,2097,33,236,796,526,170,375,96,413,0.453,0.311,0.404,0.685
George Mason,Patriots,Atlantic 10,2314,33,265,791,564,204,399,97,428,0.505,0.33,0.445,0.716
Saint Joseph's (PA),Hawks,Atlantic 10,2328,33,224,817,497,186,397,110,305,0.478,0.322,0.408,0.751
Duquesne,Dukes,Atlantic 10,2351,32,330,716,582,250,442,151,451,0.511,0.322,0.427,0.694
Canisius,Golden Griffins,Metro Atlantic Athletic,2250,32,238,663,627,204,469,108,412,0.52,0.324,0.435,0.692
Rider,Broncs,Metro Atlantic Athletic,2381,31,315,721,593,282,450,101,414,0.504,0.34,0.447,0.616
Marist,Red Foxes,Metro Atlantic Athletic,2086,31,210,682,583,172,377,53,387,0.508,0.363,0.449,0.685
Iona,Gaels,Metro Atlantic Athletic,2532,33,236,779,564,223,432,90,408,0.532,0.351,0.452,0.745
Monmouth,Hawks,Metro Atlantic Athletic,2286,35,307,805,698,237,379,101,501,0.464,0.297,0.414,0.686
Quinnipiac,Bobcats,Metro Atlantic Athletic,2294,31,272,750,524,159,393,62,415,0.485,0.377,0.427,0.724
Manhattan,Jaspers,Metro Atlantic Athletic,1833,32,273,621,672,220,360,75,484,0.456,0.332,0.405,0.584
Fairfield,Stags,Metro Atlantic Athletic,2072,31,232,657,612,202,400,63,436,0.495,0.35,0.434,0.693
Siena,Saints,Metro Atlantic Athletic,2131,33,223,676,462,189,413,93,321,0.521,0.339,0.434,0.68
St. Peter's,Peacocks,Metro Atlantic Athletic,2012,32,252,680,614,172,301,177,488,0.488,0.325,0.431,0.726
Niagara,Purple Eagles,Metro Atlantic Athletic,2318,32,267,772,511,128,343,125,390,0.461,0.359,0.421,0.736
