week,market,mascot,rank,prev_rank,wins,losses,points
W11,Virginia,Cavaliers,4,4,15,0,1473
W11,Gonzaga,Bulldogs,5,5,16,2,1315
W11,Michigan State,Spartans,6,6,15,2,1292
W11,Kansas,Jayhawks,7,7,14,2,1188
W11,Texas Tech,Red Raiders,8,8,15,1,1157
W11,Virginia Tech,Hokies,9,9,14,1,1091
W11,Nevada,Wolf Pack,10,10,16,1,1015
W11,Florida State,Seminoles,11,13,13,3,918
W11,Kentucky,Wildcats,12,18,12,3,790
W11,North Carolina,Tar Heels,13,12,12,4,678
W11,Auburn,Tigers,14,11,12,3,669
W11,Marquette,Golden Eagles,15,21,14,3,668
W11,Buffalo,Bulls,16,19,15,1,625
W11,North Carolina State,Wolfpack,17,15,14,2,586
W11,Ole Miss,Rebels,18,,13,2,501
W11,Maryland,Terrapins,19,,14,3,412
W11,Oklahoma,Sooners,20,23,13,3,394
W11,Houston,Cougars,21,17,16,1,387
W11,Villanova,Wildcats,22,,13,4,300
W11,Iowa,Hawkeyes,23,,14,3,172
W11,Mississippi State,Bulldogs,24,14,12,3,154
W11,Indiana,Hoosiers,25,22,12,4,116
W12,Tennessee,Volunteers,1,3,16,1,1575
W12,Duke,Blue Devils,2,1,15,2,1520
W12,Virginia,Cavaliers,3,4,16,1,1451
W12,Gonzaga,Bulldogs,4,5,18,2,1374
W12,Michigan,Wolverines,5,2,17,1,1363
W12,Michigan State,Spartans,6,6,16,2,1355
W12,Nevada,Wolf Pack,7,10,18,1,1143
W12,Kentucky,Wildcats,8,12,14,3,1087
W12,Kansas,Jayhawks,9,7,15,3,1060
W12,Virginia Tech,Hokies,10,9,15,2,1007
W12,North Carolina,Tar Heels,11,13,14,4,895
W12,Marquette,Golden Eagles,12,15,16,3,861
W12,Maryland,Terrapins,13,19,16,3,751
W12,Texas Tech,Red Raiders,14,8,15,3,743
W12,Buffalo,Bulls,14,16,17,1,743
W12,Auburn,Tigers,16,14,13,4,627
W12,Houston,Cougars,17,21,18,1,544
W12,Villanova,Wildcats,18,22,14,4,450
W12,Iowa,Hawkeyes,19,23,16,3,332
W12,Ole Miss,Rebels,20,18,14,3,291
W12,North Carolina State,Wolfpack,21,17,15,3,282
W12,Mississippi State,Bulldogs,22,24,14,3,266
W12,Louisville,Cardinals,23,,13,5,230
W12,Iowa State,Cyclones,24,,14,4,156
W12,LSU,Tigers,25,,14,3,154
W13,Tennessee,Volunteers,1,1,18,1,1575
W13,Duke,Blue Devils,2,2,17,2,1527
W13,Virginia,Cavaliers,3,3,18,1,1473
W13,Gonzaga,Bulldogs,4,4,19,2,1382
W13,Michigan,Wolverines,5,5,19,1,1381
W13,Michigan State,Spartans,6,6,18,3,1235
W13,Kentucky,Wildcats,7,8,16,3,1226
W13,Nevada,Wolf Pack,8,7,19,1,1158
W13,North Carolina,Tar Heels,9,11,15,4,1065
W13,Marquette,Golden Eagles,10,12,18,3,973
W13,Kansas,Jayhawks,11,9,16,4,972
W13,Virginia Tech,Hokies,12,10,16,3,858
W13,Houston,Cougars,13,17,20,1,795
W13,Villanova,Wildcats,14,18,16,4,734
W13,Louisville,Cardinals,15,23,15,5,658
W13,Texas Tech,Red Raiders,16,14,16,4,561
W13,Purdue,Boilermakers,17,,14,6,532
W13,Buffalo,Bulls,18,14,18,2,468
W13,LSU,Tigers,19,25,16,3,435
W13,Iowa State,Cyclones,20,24,15,5,327
W13,Maryland,Terrapins,21,13,16,5,280
W13,Mississippi State,Bulldogs,22,22,15,4,236
W13,North Carolina State,Wolfpack,23,21,16,4,203
W13,Wisconsin,Badgers,24,,14,6,179
W13,Florida State,Seminoles,25,,15,5,141
W14,Tennessee,Volunteers,1,1,20,1,1579
W14,Duke,Blue Devils,2,2,19,2,1532
